condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
it200,0,4,52.06,64.8,1.864,0.495,0.2021,0.2537,2.273,1.869,38.57,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,0,53.57,69.47,1.814,0.442,0.2169,0.2292,2.205,1.629,45.82,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,2,61.36,66.39,1.412,0.265,0.1388,0.2157,1.691,1.248,37.6,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,6,59.47,65.05,1.079,0.199,0.1431,0.2259,1.487,1.404,36.09,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,1,50.15,68.92,1.678,0.408,0.1929,0.2443,2.091,1.735,42.91,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,3,49.04,67.11,1.704,0.427,0.234,0.2404,1.99,1.664,41.27,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,5,57.08,69.13,1.352,0.3,0.1511,0.236,1.874,1.568,41.05,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it200,0,7,62.61,69.75,1.702,0.472,0.1401,0.2264,1.87,1.573,42.91,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_200.pt
it400,0,3,49.04,66.88,1.704,0.822,0.234,0.1726,1.99,1.574,42.74,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,4,52.06,66.18,1.864,0.969,0.2021,0.1778,2.273,1.813,40.02,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,0,53.57,68.42,1.814,0.886,0.2169,0.1631,2.205,1.688,47.31,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,1,50.15,68.72,1.678,0.916,0.1929,0.1696,2.091,1.65,44.23,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,7,62.61,69.93,1.702,0.98,0.1401,0.145,1.87,1.394,44.34,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,5,57.08,70.21,1.352,0.716,0.1511,0.1592,1.874,1.424,42.58,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,2,61.36,69.28,1.412,0.694,0.1388,0.1403,1.691,1.108,39.15,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
it400,0,6,59.47,68.82,1.079,0.492,0.1431,0.1483,1.487,1.036,37.64,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-28_18-51-54/model_400.pt
