condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
bc14,0,7,62.61,63.52,1.702,0.475,0.1401,0.2383,1.87,1.64,42.91,False,False,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,2,61.36,69.43,1.412,0.819,0.1388,0.1293,1.691,1.14,39.54,False,True,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,5,57.08,63.34,1.352,0.328,0.1511,0.2482,1.874,1.694,40.83,False,False,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,6,59.47,59.14,1.079,0.211,0.1431,0.2388,1.487,1.464,35.87,False,False,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,4,52.06,59.04,1.864,0.465,0.2021,0.2657,2.273,1.928,38.36,False,False,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,0,53.57,67.75,1.814,0.988,0.2169,0.1556,2.205,1.745,47.5,False,True,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,3,49.04,66.2,1.704,0.883,0.234,0.1698,1.99,1.603,42.94,False,True,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
bc14,0,1,50.15,68.1,1.678,1.003,0.1929,0.166,2.091,1.69,44.41,False,True,True,True,True,False,learning/rl/champion/model_bc_14ch.pt
it400,0,6,59.47,68.56,1.079,0.497,0.1431,0.1494,1.487,1.059,37.89,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,4,52.06,65.58,1.864,0.862,0.2021,0.2048,2.273,1.874,39.73,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,5,57.08,69.22,1.352,0.574,0.1511,0.1836,1.874,1.482,42.48,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,7,62.61,69.05,1.702,0.816,0.1401,0.1819,1.87,1.414,44.2,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,2,61.36,69.09,1.412,0.949,0.1388,0.1175,1.691,1.195,39.96,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,3,49.04,65.11,1.704,0.993,0.234,0.1675,1.99,1.639,43.19,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,1,50.15,67.15,1.678,1.096,0.1929,0.1659,2.091,1.734,44.6,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it400,0,0,53.57,67.04,1.814,1.073,0.2169,0.1509,2.205,1.773,47.7,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_400.pt
it800,0,6,59.47,68.95,1.079,0.531,0.1431,0.1435,1.487,1.139,38.45,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,4,52.06,63.92,1.864,0.971,0.2021,0.2301,2.273,2.027,39.87,False,False,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,5,57.08,69.38,1.352,0.65,0.1511,0.1975,1.874,1.587,43.01,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,7,62.61,69.37,1.702,0.862,0.1401,0.1991,1.87,1.47,44.66,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,2,61.36,69.29,1.412,0.884,0.1388,0.1443,1.691,1.273,39.74,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,1,50.15,67.96,1.678,1.042,0.1929,0.162,2.091,1.698,44.51,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,3,49.04,66.07,1.704,0.888,0.234,0.18,1.99,1.646,42.95,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it800,0,0,53.57,67.68,1.814,0.985,0.2169,0.1553,2.205,1.721,47.49,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_800.pt
it1200,0,6,59.47,68.39,1.079,0.539,0.1431,0.1483,1.487,1.116,38.57,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,4,52.06,64.18,1.864,1.093,0.2021,0.195,2.273,1.926,39.74,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,7,62.61,68.53,1.702,0.946,0.1401,0.2179,1.87,1.546,44.92,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,5,57.08,68.57,1.352,0.708,0.1511,0.2211,1.874,1.669,43.01,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,2,61.36,69.45,1.412,0.831,0.1388,0.1233,1.691,1.133,39.6,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,1,50.15,67.84,1.678,1.034,0.1929,0.1635,2.091,1.698,44.47,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,0,53.57,67.45,1.814,1.019,0.2169,0.1523,2.205,1.74,47.57,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1200,0,3,49.04,65.94,1.704,0.905,0.234,0.1676,1.99,1.607,43.0,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1200.pt
it1498,0,6,59.47,65.57,1.079,0.362,0.1431,0.2515,1.487,1.465,37.14,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,4,52.06,63.82,1.864,0.689,0.2021,0.2883,2.273,2.066,39.41,False,False,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,7,62.61,66.52,1.702,0.566,0.1401,0.259,1.87,1.687,43.44,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,5,57.08,64.8,1.352,0.373,0.1511,0.3316,1.874,1.934,41.51,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,0,53.57,67.45,1.814,1.019,0.2169,0.1523,2.205,1.74,47.57,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,1,50.15,67.84,1.678,1.034,0.1929,0.1635,2.091,1.698,44.47,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,2,61.36,69.45,1.412,0.831,0.1388,0.1232,1.691,1.132,39.6,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
it1498,0,3,49.04,65.94,1.704,0.905,0.234,0.1676,1.99,1.607,43.0,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-11-07/model_1498.pt
