condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
it600,0,0,53.57,68.67,1.814,0.849,0.2169,0.1656,2.205,1.678,47.22,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,3,49.04,67.13,1.704,0.788,0.234,0.1773,1.99,1.567,42.62,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,1,50.15,68.88,1.678,0.878,0.1929,0.1737,2.091,1.642,44.15,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,4,52.06,66.35,1.864,0.914,0.2021,0.1818,2.273,1.798,39.9,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,7,62.61,70.0,1.702,0.941,0.1401,0.149,1.87,1.383,44.22,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,5,57.08,70.24,1.352,0.678,0.1511,0.1631,1.874,1.416,42.44,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,2,61.36,69.07,1.412,0.65,0.1388,0.148,1.691,1.106,38.98,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it600,0,6,59.47,68.52,1.079,0.452,0.1431,0.1555,1.487,1.056,37.42,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_600.pt
it900,0,6,59.47,69.16,1.079,0.615,0.1431,0.1353,1.487,1.139,38.65,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,2,61.36,69.23,1.412,0.87,0.1388,0.1405,1.691,1.258,39.85,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,7,62.61,69.34,1.702,1.131,0.1401,0.1683,1.87,1.573,45.27,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,5,57.08,69.57,1.352,0.875,0.1511,0.1685,1.874,1.594,43.36,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,1,50.15,67.34,1.678,1.012,0.1929,0.1918,2.091,1.769,44.37,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,4,52.06,63.9,1.864,1.063,0.2021,0.2105,2.273,2.028,40.14,False,False,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,3,49.04,65.61,1.704,0.92,0.234,0.1857,1.99,1.676,42.96,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it900,0,0,53.57,67.56,1.814,1.005,0.2169,0.1623,2.205,1.787,47.55,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_900.pt
it1200,0,6,59.47,69.25,1.079,0.59,0.1431,0.1399,1.487,1.103,38.56,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,2,61.36,69.39,1.412,0.817,0.1388,0.145,1.691,1.244,39.73,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,7,62.61,69.63,1.702,1.067,0.1401,0.1762,1.87,1.553,45.15,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,5,57.08,69.97,1.352,0.817,0.1511,0.172,1.874,1.56,43.25,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,4,52.06,65.21,1.864,1.002,0.2021,0.2132,2.273,2.001,40.04,False,False,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,1,50.15,67.96,1.678,0.954,0.1929,0.1932,2.091,1.742,44.25,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,3,49.04,66.27,1.704,0.851,0.234,0.1822,1.99,1.639,42.84,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1200,0,0,53.57,68.21,1.814,0.918,0.2169,0.1685,2.205,1.767,47.4,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1200.pt
it1898,0,6,59.47,69.1,1.079,0.524,0.1431,0.1423,1.487,1.01,37.88,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,5,57.08,70.19,1.352,0.75,0.1511,0.1585,1.874,1.442,42.74,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,2,61.36,69.41,1.412,0.725,0.1388,0.1363,1.691,1.112,39.29,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,1,50.15,68.6,1.678,0.922,0.1929,0.1743,2.091,1.663,44.23,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,7,62.61,69.93,1.702,1.004,0.1401,0.149,1.87,1.411,44.51,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,3,49.04,66.8,1.704,0.821,0.234,0.1762,1.99,1.586,42.74,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,4,52.06,66.02,1.864,0.956,0.2021,0.187,2.273,1.908,39.97,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
it1898,0,0,53.57,68.44,1.814,0.889,0.2169,0.1614,2.205,1.701,47.32,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_01-07-24/model_1898.pt
