condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
it400,0,2,61.36,67.43,1.412,1.092,0.1388,0.1077,1.691,1.328,40.47,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,3,49.04,61.31,1.704,1.233,0.234,0.1746,1.99,1.731,43.65,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,1,50.15,64.33,1.678,1.304,0.1929,0.1578,2.091,1.824,45.08,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,0,53.57,64.47,1.814,1.292,0.2169,0.1484,2.205,1.879,48.06,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,6,59.47,66.77,1.079,0.264,0.1431,0.2079,1.487,1.286,36.85,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,4,52.06,65.63,1.864,0.573,0.2021,0.2303,2.273,1.813,38.87,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,5,57.08,69.25,1.352,0.306,0.1511,0.2404,1.874,1.597,41.28,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it400,0,7,62.61,69.78,1.702,0.48,0.1401,0.2316,1.87,1.587,42.97,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_400.pt
it700,0,2,61.36,67.41,1.412,1.096,0.1388,0.1039,1.691,1.309,40.48,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,3,49.04,61.01,1.704,1.265,0.234,0.1729,1.99,1.732,43.69,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,1,50.15,64.08,1.678,1.329,0.1929,0.1525,2.091,1.823,45.14,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,0,53.57,63.93,1.814,1.335,0.2169,0.1482,2.205,1.894,48.15,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,4,52.06,66.48,1.864,0.802,0.2021,0.1965,2.273,1.745,39.67,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,6,59.47,67.56,1.079,0.351,0.1431,0.1895,1.487,1.187,37.02,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,5,57.08,69.77,1.352,0.411,0.1511,0.2101,1.874,1.464,41.44,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it700,0,7,62.61,70.15,1.702,0.604,0.1401,0.1968,1.87,1.505,43.24,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_700.pt
it1100,0,6,59.47,69.3,1.079,0.545,0.1431,0.1366,1.487,1.024,38.19,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_1100.pt
it1100,0,2,61.36,68.49,1.412,1.039,0.1388,0.1094,1.691,1.227,40.21,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_1100.pt
it1100,0,4,52.06,65.88,1.864,0.975,0.2021,0.1952,2.273,1.967,40.02,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_1100.pt
it1100,0,3,49.04,63.12,1.704,1.13,0.234,0.1641,1.99,1.672,43.47,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_02-00-05/model_1100.pt
