condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
it400,0,6,59.47,67.79,1.079,0.344,0.1431,0.1856,1.487,1.171,37.25,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,4,52.06,66.01,1.864,0.663,0.2021,0.2282,2.273,1.843,39.14,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,5,57.08,70.02,1.352,0.392,0.1511,0.2169,1.874,1.511,41.88,True,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,2,61.36,69.3,1.412,0.88,0.1388,0.1169,1.691,1.136,39.88,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,7,62.61,70.18,1.702,0.61,0.1401,0.212,1.87,1.428,43.6,True,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,3,49.04,65.72,1.704,0.922,0.234,0.1681,1.99,1.611,43.04,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,1,50.15,67.75,1.678,1.042,0.1929,0.1622,2.091,1.695,44.49,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it400,0,0,53.57,67.46,1.814,1.008,0.2169,0.154,2.205,1.737,47.54,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_400.pt
it800,0,6,59.47,69.19,1.079,0.547,0.1431,0.1383,1.487,1.032,38.07,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,4,52.06,64.57,1.864,0.776,0.2021,0.2614,2.273,2.161,39.45,False,False,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,5,57.08,70.23,1.352,0.519,0.1511,0.1994,1.874,1.541,42.69,True,True,True,True,True,True,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,7,62.61,70.12,1.702,0.75,0.1401,0.2151,1.87,1.463,44.41,True,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,2,61.36,69.48,1.412,0.82,0.1388,0.1267,1.691,1.13,39.59,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,1,50.15,67.99,1.678,1.017,0.1929,0.1656,2.091,1.69,44.44,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,3,49.04,66.09,1.704,0.893,0.234,0.1697,1.99,1.602,42.97,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it800,0,0,53.57,67.62,1.814,1.002,0.2169,0.1544,2.205,1.73,47.53,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_800.pt
it1100,0,6,59.47,65.43,1.079,0.201,0.1431,0.2257,1.487,1.379,36.26,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,4,52.06,64.7,1.864,0.492,0.2021,0.2579,2.273,1.88,38.56,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,5,57.08,69.15,1.352,0.299,0.1511,0.2365,1.874,1.57,41.06,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,0,53.57,67.62,1.814,1.002,0.2169,0.1543,2.205,1.729,47.53,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,7,62.61,69.75,1.702,0.471,0.1401,0.2265,1.87,1.573,42.91,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,3,49.04,66.1,1.704,0.893,0.234,0.1696,1.99,1.601,42.97,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,1,50.15,67.99,1.678,1.017,0.1929,0.1654,2.091,1.689,44.44,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1100,0,2,61.36,69.47,1.412,0.818,0.1388,0.1254,1.691,1.126,39.54,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1100.pt
it1498,0,5,57.08,69.13,1.352,0.301,0.1511,0.2363,1.874,1.57,41.05,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,1,50.15,67.99,1.678,1.017,0.1929,0.1655,2.091,1.69,44.44,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,6,59.47,65.04,1.079,0.198,0.1431,0.2258,1.487,1.401,36.09,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,0,53.57,67.62,1.814,1.001,0.2169,0.1544,2.205,1.729,47.53,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,2,61.36,69.47,1.412,0.818,0.1388,0.1254,1.691,1.126,39.54,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,3,49.04,66.1,1.704,0.893,0.234,0.1696,1.99,1.601,42.97,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,4,52.06,64.75,1.864,0.491,0.2021,0.2549,2.273,1.872,38.56,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
it1498,0,7,62.61,69.75,1.702,0.471,0.1401,0.2266,1.87,1.573,42.91,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_00-25-50/model_1498.pt
