condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,overall_pass,checkpoint
bc_th,0,7,62.61,66.26,1.702,0.634,0.1401,0.2815,1.87,1.679,44.02,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,6,59.47,62.39,1.079,0.325,0.1431,0.2276,1.487,1.477,36.36,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,2,61.36,63.94,1.412,0.369,0.1388,0.2363,1.691,1.355,37.99,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,5,57.08,65.99,1.352,0.424,0.1511,0.2627,1.874,1.826,41.78,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,4,52.06,60.65,1.864,0.578,0.2021,0.2891,2.273,2.082,38.63,False,False,False,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,1,50.15,64.81,1.678,0.464,0.1929,0.2727,2.091,1.939,42.96,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,3,49.04,63.39,1.704,0.48,0.234,0.2298,1.99,1.659,41.52,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
bc_th,0,0,53.57,65.26,1.814,0.501,0.2169,0.2281,2.205,1.742,45.9,False,False,True,True,True,False,learning/rl/champion/model_bc_thermal_only.pt
it400,0,5,57.08,66.86,1.352,1.118,0.1511,0.1356,1.874,1.658,43.77,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,7,62.61,67.67,1.702,1.394,0.1401,0.1248,1.87,1.633,45.67,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,0,53.57,63.16,1.814,1.384,0.2169,0.1519,2.205,1.94,48.29,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,1,50.15,63.82,1.678,1.278,0.1929,0.1686,2.091,1.845,44.98,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,3,49.04,62.28,1.704,1.149,0.234,0.2162,1.99,1.839,43.39,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,6,59.47,65.44,1.079,0.547,0.1431,0.1979,1.487,1.234,36.9,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,2,61.36,66.88,1.412,0.676,0.1388,0.3108,1.691,1.704,38.39,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it400,0,4,52.06,62.75,1.864,0.81,0.2021,0.2476,2.273,1.918,39.54,False,False,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_400.pt
it800,0,4,52.06,60.15,1.864,1.505,0.2021,0.1682,2.273,2.087,41.08,False,True,False,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_800.pt
it800,0,2,61.36,66.93,1.412,1.125,0.1388,0.1043,1.691,1.352,40.57,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_800.pt
it800,0,6,59.47,67.41,1.079,0.847,0.1431,0.1083,1.487,1.228,39.25,False,True,True,True,True,False,learning/rl/logs/polish_ppo/2026-08-29_19-30-16/model_800.pt
