cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
0,front,-0.503,1.415,0.208,95.5,True,-1.1723,+0.3580,2.91,success,1,58.70,70.67,0.1257,0.956,0.355,0.052,44.71,39.83,35.75,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
1,front,-0.516,1.419,0.301,101.5,True,-1.5491,+0.4896,2.76,success,1,66.90,72.74,0.1209,0.887,0.159,0.018,46.97,42.64,35.77,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
2,front,-0.516,1.431,0.424,69.0,True,-4.1796,-4.3271,7.64,fail_force_overload,0,63.48,67.94,0.1759,1.055,0.467,0.252,45.87,42.45,34.65,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
3,front,-0.525,1.369,0.534,65.3,True,-4.4150,-1.6356,5.46,success,1,68.96,72.10,0.1229,0.821,0.490,0.093,43.92,41.42,35.79,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
4,front,-0.422,1.466,0.209,84.5,True,-1.5920,+0.7827,4.10,success,1,63.85,71.90,0.1172,0.954,0.906,0.235,45.65,41.49,35.75,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
5,front,-0.421,1.472,0.307,94.3,True,-0.9989,-0.0669,2.70,success,1,63.75,72.22,0.1280,0.946,0.818,0.254,49.65,43.99,35.83,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
6,front,-0.416,1.470,0.411,73.7,True,-0.2087,-3.6438,4.83,fail_force_overload,0,68.77,71.48,0.1612,0.994,0.434,0.259,44.60,41.31,34.84,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
7,front,-0.410,1.401,0.581,74.3,True,+0.0049,-0.7165,4.66,fail_force_overload,0,64.42,71.99,0.1564,1.083,0.697,0.337,45.33,44.13,35.09,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
8,front,-0.376,1.409,0.624,75.8,True,-1.4758,-3.9538,4.83,fail_force_overload,0,61.86,69.68,0.1068,0.813,0.250,0.091,49.13,45.79,36.00,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
9,front,-0.310,1.495,0.211,79.2,True,-1.4980,+2.4508,3.50,success,1,70.50,71.25,0.1280,0.883,0.429,0.075,43.46,38.51,35.73,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
10,front,-0.300,1.500,0.308,94.7,True,-1.7214,+0.2143,3.74,success,1,59.00,72.72,0.1260,0.914,0.886,0.139,47.97,43.87,35.72,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
11,front,-0.300,1.500,0.422,77.4,True,-0.4694,-3.6723,6.70,fail_force_overload,0,72.70,74.05,0.1444,0.916,0.187,0.074,44.13,39.98,34.85,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
12,front,-0.286,1.456,0.551,85.0,True,-0.8345,+1.0958,5.48,success,1,66.44,73.51,0.1191,0.952,0.259,0.024,49.78,45.01,35.89,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
13,front,-0.299,1.441,0.638,79.7,True,-0.6922,-5.4556,9.67,fail_force_overload,0,69.72,72.25,0.0839,0.736,0.257,0.111,43.15,37.94,35.92,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
14,front,-0.165,1.495,0.209,73.7,True,+0.0982,-0.7130,7.16,fail_clearcoat_budget,1,63.72,66.81,0.1194,0.746,0.574,0.105,40.36,35.52,35.94,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
15,front,-0.179,1.486,0.304,93.4,True,+1.7095,+3.1166,10.46,fail_force_overload,0,69.08,70.48,0.1407,0.817,0.284,0.240,47.58,44.06,35.19,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
16,front,-0.178,1.490,0.425,73.9,True,+0.0241,-9.9297,35.70,fail_force_overload,0,69.54,72.27,0.1786,0.900,0.250,0.141,42.28,39.03,34.42,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
17,front,-0.181,1.474,0.560,86.7,True,-0.3055,+0.7043,2.38,success,1,69.87,72.08,0.1171,0.721,0.507,0.064,44.83,40.73,35.83,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
18,front,-0.178,1.472,0.642,86.4,True,+0.8926,-3.8451,16.20,fail_force_overload,0,58.29,70.84,0.0885,0.659,0.311,0.217,46.96,43.63,35.95,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
19,front,-0.062,1.496,0.208,68.9,True,-0.1532,-0.5485,6.76,success,1,68.70,72.44,0.1212,0.817,0.564,0.088,46.32,42.15,35.88,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
20,front,-0.062,1.482,0.305,94.0,True,-0.1459,+3.9273,8.59,fail_force_overload,0,72.04,74.56,0.1183,0.824,0.287,0.153,46.47,41.96,35.32,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
21,front,-0.061,1.494,0.425,73.8,True,+0.0998,-7.1780,30.21,fail_force_overload,0,68.79,71.16,0.1573,0.878,0.235,0.124,40.28,37.13,34.70,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
22,front,-0.067,1.482,0.537,90.8,True,-0.2562,+1.6193,4.65,success,1,56.75,71.72,0.1242,0.774,0.357,0.038,47.44,42.38,35.76,True,True,True,True,True,True,True,pass,model_ppo_curved.pt
23,front,-0.063,1.480,0.647,85.7,True,+0.6863,-4.2535,16.31,fail_force_overload,0,66.84,73.69,0.1089,0.801,0.476,0.205,49.38,45.98,35.98,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
24,front,0.057,1.496,0.208,69.4,True,-0.1965,-0.8062,6.85,fail_clearcoat_budget,1,64.84,69.28,0.1159,0.760,0.406,0.043,41.24,36.19,35.88,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt
25,front,0.058,1.482,0.305,94.1,True,-0.1919,+4.5003,8.65,fail_force_overload,0,67.07,69.77,0.1244,0.834,0.426,0.292,41.67,38.46,35.64,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
26,front,0.057,1.501,0.428,72.2,True,+0.0738,-5.6203,21.91,fail_force_overload,0,74.79,74.53,0.1723,0.965,0.323,0.249,49.51,46.58,34.79,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
