cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
2,front,-0.516,1.431,0.424,69.0,True,-4.1796,-4.3271,7.64,fail_quality_regression,2,63.48,67.33,0.2301,1.489,0.467,0.028,45.87,38.88,32.74,False,False,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
6,front,-0.416,1.470,0.411,73.7,True,-0.2087,-3.6438,4.83,success,1,68.77,71.78,0.1729,1.184,0.434,0.056,44.60,40.23,32.67,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
7,front,-0.410,1.401,0.581,74.3,True,+0.0049,-0.7165,4.66,success,1,64.42,72.04,0.1667,1.041,0.697,0.108,45.33,42.75,32.70,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
8,front,-0.376,1.409,0.624,75.8,True,-1.4758,-3.9538,4.83,fail_force_overload,0,61.86,69.50,0.1261,0.838,0.250,0.099,49.13,45.81,32.67,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
11,front,-0.300,1.500,0.422,77.4,True,-0.4694,-3.6723,6.70,success,1,72.70,71.70,0.1601,1.030,0.187,0.025,44.13,39.08,32.68,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
13,front,-0.299,1.441,0.638,79.7,True,-0.6922,-5.4556,9.67,fail_force_overload,0,69.72,72.15,0.1008,0.825,0.257,0.110,43.15,38.01,32.59,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
15,front,-0.179,1.486,0.304,93.4,True,+1.7095,+3.1166,10.46,success,1,69.08,72.41,0.1558,0.996,0.284,0.057,47.58,42.45,32.78,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
16,front,-0.178,1.490,0.425,73.9,True,+0.0241,-9.9297,35.70,fail_force_overload,0,69.54,72.13,0.1875,0.928,0.250,0.126,42.28,38.93,32.46,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
18,front,-0.178,1.472,0.642,86.4,True,+0.8926,-3.8451,16.20,success,1,58.29,72.09,0.1563,0.932,0.311,0.090,46.96,42.56,32.66,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
20,front,-0.062,1.482,0.305,94.0,True,-0.1459,+3.9273,8.59,success,1,72.04,72.69,0.1478,0.922,0.287,0.031,46.47,41.07,32.92,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
21,front,-0.061,1.494,0.425,73.8,True,+0.0998,-7.1780,30.21,fail_force_overload,0,68.79,70.77,0.1655,0.893,0.235,0.128,40.28,37.01,32.56,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
23,front,-0.063,1.480,0.647,85.7,True,+0.6863,-4.2535,16.31,success,1,66.84,72.88,0.1752,1.135,0.476,0.120,49.38,44.95,32.65,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
25,front,0.058,1.482,0.305,94.1,True,-0.1919,+4.5003,8.65,fail_force_overload,0,67.07,69.60,0.1388,0.873,0.426,0.303,41.67,38.37,33.07,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
26,front,0.057,1.501,0.428,72.2,True,+0.0738,-5.6203,21.91,fail_force_overload,0,74.79,74.51,0.1867,1.034,0.323,0.208,49.51,46.42,32.61,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
28,front,0.059,1.477,0.636,99.8,True,+2.8925,-1.7922,17.59,fail_clearcoat,1,69.00,65.52,0.1697,1.109,0.517,0.089,41.02,34.87,32.75,False,True,True,True,False,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
30,front,0.179,1.486,0.305,93.4,True,+1.6885,+3.1822,10.46,success,1,71.66,72.85,0.1679,1.102,0.429,0.093,48.62,44.25,32.79,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
