cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
0,front,-0.50295,1.41481,0.20787,-0.67201,0.73423,-0.09649,0.74054,0.66628,-0.08756,-0.0,-0.1303,-0.99147
1,front,-0.51633,1.41854,0.30143,-0.5965,0.77725,-0.20016,0.80261,0.57765,-0.14876,-0.0,-0.24939,-0.9684
2,front,-0.5161,1.43077,0.42412,-0.31754,0.87818,0.35773,0.94825,0.29407,0.11979,0.0,0.37725,-0.92611
3,front,-0.52485,1.36868,0.53369,-0.37078,0.82914,0.4184,0.92872,0.33102,0.16704,0.0,0.45051,-0.89277
4,front,-0.42236,1.46602,0.20874,-0.39947,0.91179,0.09524,0.91675,0.39731,0.0415,0.0,0.10389,-0.99459
5,front,-0.42061,1.47239,0.30743,-0.35062,0.93358,-0.07416,0.93652,0.34952,-0.02776,-0.0,-0.07919,-0.99686
6,front,-0.41583,1.46962,0.41069,-0.29116,0.91479,0.27996,0.95667,0.27842,0.08521,0.0,0.29264,-0.95622
7,front,-0.40988,1.40074,0.58064,-0.45241,0.8495,0.27142,0.89181,0.43094,0.13769,0.0,0.30435,-0.95256
8,front,-0.37635,1.40886,0.62437,-0.5036,0.82848,0.24495,0.86394,0.48293,0.14279,0.0,0.28353,-0.95896
9,front,-0.31056,1.49541,0.21135,-0.09465,0.97816,0.18503,0.99551,0.093,0.01759,-0.0,0.18586,-0.98258
10,front,-0.30033,1.49987,0.30781,-0.0767,0.99362,-0.08273,0.99705,0.07643,-0.00636,-0.0,-0.08298,-0.99655
11,front,-0.29986,1.50016,0.42181,-0.25391,0.94243,0.21762,0.96723,0.2474,0.05713,0.0,0.22499,-0.97436
12,front,-0.28595,1.45586,0.55109,-0.27054,0.95869,0.08783,0.96271,0.26942,0.02468,0.0,0.09123,-0.99583
13,front,-0.29947,1.44132,0.63785,-0.3735,0.91011,0.17941,0.92763,0.36645,0.07224,0.0,0.19341,-0.98112
