condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,temperature_mean_c,temperature_peak_c,thermal_damage_peak,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,thermal_safe,overall_pass,checkpoint
it100,0,1,55.02,59.79,1.759,0.409,0.17,0.2551,1.857,1.6,36.02,28.176,46.408,0.280941,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,2,51.5,62.19,1.457,0.393,0.1698,0.2447,1.748,1.568,37.94,28.177,46.397,0.26033,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,7,60.55,63.77,1.919,0.767,0.1499,0.2984,2.115,2.038,38.48,28.177,46.411,0.279947,False,False,False,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,6,59.39,61.01,1.536,0.218,0.1191,0.2232,1.79,1.431,36.83,28.177,46.403,0.342579,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,4,55.12,60.11,1.733,0.756,0.219,0.2898,2.317,2.035,36.13,28.177,46.401,0.510659,False,False,False,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,3,49.7,62.33,1.634,0.476,0.2671,0.2794,2.239,1.877,42.82,28.177,46.408,0.519667,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,0,48.02,53.2,1.829,0.587,0.2484,0.2553,2.241,1.862,35.68,28.177,46.41,0.503446,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it100,0,5,50.47,61.51,1.505,0.313,0.2293,0.2619,1.969,1.775,39.37,28.177,46.397,0.504907,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_100.pt
it150,0,7,60.55,62.63,1.919,0.743,0.1499,0.2176,2.115,1.592,38.21,28.177,46.414,0.511214,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_150.pt
it150,0,0,48.02,54.61,1.829,0.655,0.2484,0.2347,2.241,1.775,35.83,28.177,46.41,0.496293,False,False,True,True,True,True,False,learning/rl/thermal/logs/2026-08-29_02-51-36/model_150.pt
