condition,round,env,gu_before,gu_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_min_um,temperature_mean_c,temperature_peak_c,thermal_damage_peak,gu_pass,ra_pass,rz_pass,cc_pass,scratch_improved,thermal_safe,overall_pass,checkpoint
baseline,0,0,48.02,60.37,1.829,1.349,0.2484,0.1863,2.241,1.928,38.28,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,1,55.02,66.9,1.759,1.051,0.17,0.1427,1.857,1.411,38.27,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,2,51.5,67.89,1.457,0.962,0.1698,0.1203,1.748,1.284,40.08,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,3,49.7,63.89,1.634,1.105,0.2671,0.1967,2.239,1.814,43.9,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,4,55.12,65.65,1.733,1.313,0.219,0.1677,2.317,1.937,38.54,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,5,50.47,65.2,1.505,0.886,0.2293,0.1672,1.969,1.613,41.31,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,6,59.39,69.45,1.536,0.933,0.1191,0.1127,1.79,1.198,38.59,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
baseline,0,7,60.55,68.22,1.919,1.357,0.1499,0.1371,2.115,1.714,39.63,26.973,35.721,0.00585,False,True,True,True,True,True,False,action=0
old_bc,0,7,60.55,62.49,1.919,0.705,0.1499,0.2755,2.115,1.882,38.09,28.177,46.413,0.346801,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,6,59.39,60.35,1.536,0.216,0.1191,0.216,1.79,1.389,36.78,28.177,46.411,0.397722,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,2,51.5,60.44,1.457,0.354,0.1698,0.2113,1.748,1.424,37.77,28.177,46.408,0.477179,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,1,55.02,56.67,1.759,0.333,0.17,0.2381,1.857,1.521,35.75,28.177,46.397,0.495162,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,4,55.12,59.27,1.733,0.684,0.219,0.2477,2.317,1.828,36.05,28.177,46.4,0.520754,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,0,48.02,52.64,1.829,0.573,0.2484,0.2567,2.241,1.863,35.63,28.177,46.411,0.521593,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,3,49.7,62.06,1.634,0.443,0.2671,0.2588,2.239,1.704,42.36,28.177,46.41,0.527475,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
old_bc,0,5,50.47,61.1,1.505,0.302,0.2293,0.2545,1.969,1.737,39.31,28.177,46.403,0.530488,False,False,True,True,True,True,False,learning/rl/champion/model_bc.pt
