region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,8.421,3259,4.408,0.2700,4,+0.973,-0.440,0.2161,0.2157,1.3018,0.4877,0.1255,0.1706,1.6812,1.3899,44.67,2.1227,42.55,40.23,61.71,70.26,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7101,435.7,True,1
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,8.424,3259,4.321,0.2700,2,+0.974,-0.471,0.1954,0.1548,0.9629,0.6078,0.1347,0.1170,1.3657,1.1119,47.91,1.0832,46.83,43.92,61.12,71.59,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7102,222.2,True,0
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,8.424,3259,4.311,0.2700,2,+0.980,-0.474,0.1653,0.1451,0.6206,0.2329,0.1195,0.1158,1.0088,0.8134,46.53,1.0863,45.44,42.58,55.77,71.71,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7103,222.8,True,0
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,8.426,3259,4.207,0.2700,4,+0.982,-0.511,0.3071,0.2062,1.7980,0.6112,0.1845,0.1600,2.1751,1.4799,49.20,2.2291,46.97,43.78,57.50,70.44,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7104,456.4,True,1
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,8.424,3259,4.247,0.2700,2,+0.973,-0.496,0.1893,0.1477,1.4676,1.0002,0.1073,0.1106,1.7682,1.3665,45.15,1.1022,44.05,41.68,60.24,71.05,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7105,226.1,True,0
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,8.402,3259,5.220,0.2700,6,+0.968,-0.152,0.2146,0.2095,1.0375,0.0981,0.1456,0.1642,1.3758,1.1442,43.39,2.6813,40.71,38.34,49.05,68.39,False,True,True,True,True,True,False,gu_below_target(68.4<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7106,551.8,True,2
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,8.424,3259,4.334,0.2700,2,+0.976,-0.466,0.1613,0.1354,0.7176,0.3506,0.1122,0.1037,1.0729,0.8934,45.26,1.0798,44.18,41.14,55.45,71.64,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7107,221.6,True,0
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,8.439,3259,3.298,0.2700,2,+0.976,-0.833,0.2861,0.2576,1.3410,0.7045,0.1898,0.2002,1.7697,1.6443,40.13,1.4247,38.71,36.11,50.42,63.86,False,False,True,True,True,True,False,gu_below_target(63.9<70);ra_above_target(0.200>0.20);clearcoat_budget_exhausted,spot_repaint_review,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7108,291.1,True,0
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,8.413,3259,4.728,0.2700,4,+0.971,-0.326,0.1914,0.1946,0.8961,0.1971,0.1342,0.1501,1.2688,1.0827,41.95,1.9737,39.98,37.28,55.08,68.71,False,True,True,True,True,True,False,gu_below_target(68.7<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7109,406.1,True,1
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,8.423,3259,4.313,0.2700,2,+0.974,-0.473,0.1909,0.1507,1.0593,0.6499,0.1238,0.1172,1.4694,1.1867,43.00,1.0851,41.91,39.80,57.47,70.74,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7110,222.6,True,0
R1,bonnet,10,2.100,-0.480,1.000,-0.1000,0.0000,0.9950,8.426,3259,4.215,0.2700,4,+0.982,-0.508,0.2560,0.2056,1.6397,0.4759,0.1431,0.1586,1.9477,1.3302,47.97,2.2250,45.75,43.40,53.11,70.84,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7111,455.6,True,1
R1,bonnet,11,2.100,-0.240,1.000,-0.1000,0.0000,0.9950,8.426,3259,4.251,0.2700,2,+0.978,-0.495,0.1791,0.1432,0.9483,0.5444,0.1210,0.1071,1.4055,1.0539,49.47,1.1018,48.37,45.65,56.64,72.15,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7112,225.9,True,0
R1,bonnet,12,2.100,0.000,1.000,-0.1000,0.0000,0.9950,8.426,3259,4.248,0.2700,2,+0.982,-0.496,0.1952,0.1562,1.0777,0.5579,0.1202,0.1205,1.2653,1.0453,49.00,1.1026,47.90,45.57,58.98,71.80,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7113,226.1,True,0
R1,bonnet,13,2.100,0.240,1.000,-0.1000,0.0000,0.9950,8.408,3259,4.947,0.2700,6,+0.969,-0.249,0.2434,0.2307,1.3847,0.2063,0.1452,0.1764,1.6036,1.2986,43.14,2.8298,40.31,39.17,56.91,68.30,False,True,True,True,True,True,False,gu_below_target(68.3<70),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7114,582.3,True,2
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,8.403,3259,5.122,0.2700,6,+0.968,-0.187,0.2555,0.2808,1.3351,0.2764,0.1548,0.2242,1.7804,1.5640,42.28,2.7294,39.55,36.90,58.26,66.41,False,False,True,True,True,True,False,gu_below_target(66.4<70);ra_above_target(0.224>0.20),rework_candidate,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7115,562.4,True,2
