region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,7.398,5436,3.119,0.1840,2,+0.958,-0.951,0.2161,0.2939,1.3018,0.2762,0.1255,0.2380,1.6812,1.5342,44.67,3.1755,41.49,38.77,61.71,67.84,False,False,True,True,True,False,gu_below_target(67.8<70);ra_above_target(0.238>0.20),5.7,False,flat_trained_bc_policy_inference,7101,461.6,True
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,7.270,5436,3.392,0.1840,2,+0.877,-0.859,0.1954,0.2374,0.9629,0.2146,0.1347,0.1904,1.3657,1.2492,47.91,2.8763,45.03,42.65,61.12,70.80,True,True,True,True,True,True,,5.7,False,flat_trained_bc_policy_inference,7102,424.5,True
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,7.297,5436,3.316,0.1840,2,+0.901,-0.885,0.1653,0.2457,0.6206,0.0770,0.1195,0.1970,1.0088,1.2497,46.53,2.9427,43.59,40.30,55.77,69.82,False,True,True,True,True,False,gu_below_target(69.8<70),5.7,False,flat_trained_bc_policy_inference,7103,434.2,True
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,7.415,5436,3.085,0.1840,2,+0.967,-0.963,0.3071,0.2746,1.7980,0.3651,0.1845,0.2227,2.1751,1.5006,49.20,3.2222,45.98,42.53,57.50,69.32,False,False,True,True,True,False,gu_below_target(69.3<70);ra_above_target(0.223>0.20),5.7,False,flat_trained_bc_policy_inference,7104,466.8,True
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,7.309,5436,3.312,0.1840,2,+0.900,-0.886,0.1893,0.2191,1.4676,0.3804,0.1073,0.1701,1.7682,1.1253,45.15,2.9557,42.19,40.26,60.24,69.73,False,True,True,True,True,False,gu_below_target(69.7<70),5.7,False,flat_trained_bc_policy_inference,7105,434.7,True
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,7.367,5436,3.184,0.1840,2,+0.940,-0.929,0.2146,0.2725,1.0375,0.1438,0.1456,0.2220,1.3758,1.3522,43.39,3.0964,40.29,37.29,49.05,65.98,False,False,True,True,True,False,gu_below_target(66.0<70);ra_above_target(0.222>0.20),5.7,False,flat_trained_bc_policy_inference,7106,452.2,True
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,7.347,5436,3.244,0.1840,2,+0.922,-0.909,0.1613,0.2541,0.7176,0.0871,0.1122,0.1924,1.0729,1.1818,45.26,3.0269,42.23,38.65,55.45,67.36,False,True,True,True,True,False,gu_below_target(67.4<70),5.7,False,flat_trained_bc_policy_inference,7107,443.8,True
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,7.452,5436,3.017,0.1840,2,+0.988,-0.985,0.2861,0.2919,1.3410,0.2792,0.1898,0.2346,1.7697,1.6542,40.13,3.3094,36.82,34.60,50.42,51.83,False,False,True,True,False,False,gu_below_target(51.8<70);ra_above_target(0.235>0.20);clearcoat_below_safe(34.6<35),5.7,False,flat_trained_bc_policy_inference,7108,477.2,True
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,7.352,5436,3.208,0.1840,2,+0.931,-0.921,0.1914,0.2381,0.8961,0.1040,0.1342,0.1821,1.2688,1.2451,41.95,3.0671,38.88,35.50,55.08,63.50,False,True,True,True,True,False,gu_below_target(63.5<70),5.7,False,flat_trained_bc_policy_inference,7109,448.8,True
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,7.387,5436,3.170,0.1840,2,+0.944,-0.934,0.1909,0.2565,1.0593,0.1803,0.1238,0.2023,1.4694,1.3713,43.00,3.1214,39.88,37.39,57.47,67.18,False,False,True,True,True,False,gu_below_target(67.2<70);ra_above_target(0.202>0.20),5.7,False,flat_trained_bc_policy_inference,7110,454.2,True
