region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,8.413,3259,4.652,0.2700,2,+0.970,-0.353,0.1563,0.1390,0.2527,0.0778,0.1266,0.1121,0.8540,0.7237,41.79,1.0028,40.79,38.46,61.12,71.34,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7101,206.4,True,0
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,8.421,3259,4.432,0.2700,2,+0.973,-0.431,0.1462,0.1259,0.3211,0.0751,0.1156,0.0985,0.8677,0.6977,47.91,1.0548,46.86,43.90,67.97,73.74,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7102,216.6,True,0
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,8.418,3259,4.542,0.2700,2,+0.973,-0.392,0.1609,0.1455,0.3929,0.1081,0.1275,0.1143,0.9445,0.7695,42.98,1.0287,41.95,39.08,65.64,72.44,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7103,211.4,True,0
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,8.420,3259,4.491,0.2700,2,+0.973,-0.410,0.1433,0.1284,0.1580,0.0490,0.1139,0.1036,0.8367,0.6658,45.15,1.0410,44.11,40.90,75.14,73.92,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7104,213.8,True,0
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,8.415,3259,4.515,0.2700,2,+0.970,-0.402,0.1263,0.0961,0.2457,0.0480,0.1003,0.0789,0.6899,0.4874,42.78,1.0347,41.75,39.29,71.63,73.28,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7105,212.7,True,0
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,8.411,3259,4.624,0.2700,2,+0.969,-0.363,0.1590,0.1416,0.2374,0.0524,0.1287,0.1117,0.9365,0.7641,40.13,1.0083,39.12,36.46,63.55,69.45,False,True,True,True,True,True,False,gu_below_target(69.5<70);clearcoat_budget_exhausted,spot_repaint_review,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7106,207.7,True,0
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,8.421,3259,4.471,0.2700,2,+0.976,-0.417,0.1298,0.1286,0.1764,0.0321,0.1055,0.0995,0.7337,0.7281,45.95,1.0454,44.90,41.86,67.02,74.29,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7107,214.7,True,0
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,8.422,3259,4.410,0.2700,2,+0.974,-0.439,0.1774,0.1235,0.4671,0.1398,0.1404,0.0914,1.1013,0.7958,47.97,1.0608,46.91,44.42,62.40,72.84,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7108,217.8,True,0
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,8.421,3259,4.468,0.2700,2,+0.976,-0.418,0.1582,0.1263,0.2647,0.0642,0.1283,0.0962,0.8949,0.7548,45.63,1.0466,44.58,41.83,63.68,73.03,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7109,214.9,True,0
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,8.419,3259,4.519,0.2700,2,+0.972,-0.400,0.1547,0.1289,0.2832,0.0955,0.1216,0.0997,0.9034,0.7517,43.14,1.0341,42.11,39.95,55.95,70.66,True,True,True,True,True,True,True,,pass,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7110,212.5,True,0
