region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,7.444,5436,5.150,0.1840,2,+0.992,-0.268,0.2161,0.1810,1.3018,0.5754,0.1255,0.1428,1.6812,1.2854,44.67,1.9366,42.73,40.12,61.71,70.27,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7101,279.7,True,0
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,7.441,5436,5.016,0.1840,2,+0.988,-0.313,0.1954,0.1776,0.9629,0.3540,0.1347,0.1420,1.3657,1.0712,47.91,1.9866,45.92,43.13,61.12,71.81,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7102,287.1,True,0
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,7.443,5436,4.963,0.1840,2,+0.990,-0.331,0.1653,0.1840,0.6206,0.1051,0.1195,0.1470,1.0088,0.9361,46.53,2.0088,44.52,41.45,55.77,71.41,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7103,290.2,True,0
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,6.890,5436,3.953,0.1840,4,+0.665,-0.670,0.3071,0.2860,1.7980,0.1432,0.1845,0.2144,2.1751,1.6074,49.20,4.6665,44.53,40.73,57.50,67.80,False,False,True,True,True,False,gu_below_target(67.8<70);ra_above_target(0.214>0.20),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7104,728.4,True,1
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,7.445,5436,5.084,0.1840,2,+0.991,-0.290,0.1893,0.1656,1.4676,0.6595,0.1073,0.1352,1.7682,1.0878,45.15,1.9613,43.19,40.93,60.24,71.15,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7105,283.3,True,0
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,6.860,5436,3.768,0.1840,4,+0.645,-0.732,0.2146,0.2800,1.0375,0.0699,0.1456,0.2084,1.3758,1.4656,43.39,4.8755,38.51,35.33,49.05,59.84,False,False,True,True,True,False,gu_below_target(59.8<70);ra_above_target(0.208>0.20),5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7106,764.2,True,1
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,7.445,5436,4.960,0.1840,2,+0.990,-0.332,0.1613,0.1711,0.7176,0.1354,0.1122,0.1342,1.0729,0.8708,45.26,2.0102,43.25,40.00,55.45,70.91,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7107,290.4,True,0
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,7.444,5436,5.193,0.1840,2,+0.992,-0.253,0.2861,0.1994,1.3410,0.5812,0.1898,0.1535,1.7697,1.3725,40.13,1.9196,38.21,35.89,50.42,64.02,False,True,True,True,True,False,gu_below_target(64.0<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7108,277.3,True,0
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,7.446,5436,4.934,0.1840,2,+0.991,-0.340,0.1914,0.1803,0.8961,0.2104,0.1342,0.1416,1.2688,0.9460,41.95,2.0214,39.93,36.94,55.08,67.98,False,True,True,True,True,False,gu_below_target(68.0<70);clearcoat_budget_exhausted,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7109,291.9,True,0
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,7.445,5436,4.989,0.1840,2,+0.990,-0.322,0.1909,0.1717,1.0593,0.3591,0.1238,0.1366,1.4694,1.0529,43.00,1.9989,41.00,38.61,57.47,70.09,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7110,288.7,True,0
R1,bonnet,10,2.100,-0.480,1.000,-0.1000,0.0000,0.9950,7.442,5436,5.305,0.1840,2,+0.993,-0.216,0.2560,0.1885,1.6397,0.6094,0.1431,0.1487,1.9477,1.2745,47.97,1.8781,46.09,43.68,53.11,70.26,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7111,271.5,True,0
R1,bonnet,11,2.100,-0.240,1.000,-0.1000,0.0000,0.9950,7.436,5436,5.019,0.1840,2,+0.986,-0.312,0.1791,0.1773,0.9483,0.2444,0.1210,0.1370,1.4055,0.9683,49.47,1.9845,47.49,44.95,56.64,72.42,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7112,287.0,True,0
R1,bonnet,12,2.100,0.000,1.000,-0.1000,0.0000,0.9950,7.436,5436,5.058,0.1840,2,+0.987,-0.299,0.1952,0.1731,1.0777,0.3169,0.1202,0.1401,1.2653,0.9776,49.00,1.9694,47.03,44.44,58.98,72.11,True,True,True,True,True,True,,5.7,False,flat_trained_bc_ppo_terminal_policy_inference,7113,284.8,True,0
