region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,init_roughness_um,init_scratch_um,init_ra_um,init_rz_um,init_clearcoat_um,init_gu_proxy,surface_seed
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,0.2161,1.360,0.0705,1.6810,44.67,61.71,7101
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,0.1955,0.932,0.0967,1.3663,47.91,61.12,7102
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,0.1652,0.666,0.0763,1.0086,46.53,55.77,7103
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,0.3071,1.850,0.0773,2.1755,49.20,57.50,7104
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,0.1893,1.529,0.0792,1.7684,45.15,60.24,7105
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,0.2146,1.073,0.0726,1.3755,43.39,49.05,7106
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,0.1614,0.739,0.0784,1.0735,45.26,55.44,7107
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,0.2861,1.395,0.0879,1.7694,40.13,50.42,7108
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,0.1914,0.948,0.0877,1.2686,41.95,55.08,7109
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,0.1909,1.053,0.0962,1.4693,43.00,57.47,7110
R1,bonnet,10,2.100,-0.480,1.000,-0.1000,0.0000,0.9950,0.2560,1.712,0.0660,1.9475,47.97,53.11,7111
R1,bonnet,11,2.100,-0.240,1.000,-0.1000,0.0000,0.9950,0.1791,0.918,0.0962,1.4053,49.47,56.64,7112
R1,bonnet,12,2.100,0.000,1.000,-0.1000,0.0000,0.9950,0.1952,1.049,0.0694,1.2654,49.00,58.98,7113
R1,bonnet,13,2.100,0.240,1.000,-0.1000,0.0000,0.9950,0.2434,1.444,0.0745,1.6037,43.14,56.91,7114
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,0.2555,1.451,0.0825,1.7804,42.28,58.26,7115
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,0.1982,1.270,0.0973,1.4794,41.89,66.81,7116
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,0.2562,1.223,0.1062,1.5982,46.22,51.21,7117
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,0.2574,1.142,0.1178,1.6858,44.70,50.15,7118
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,0.1656,1.266,0.0720,1.3764,44.16,51.37,7119
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,0.2569,1.591,0.0797,1.7714,45.19,61.28,7120
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,0.2301,1.150,0.0955,1.4442,40.93,46.69,7121
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,0.3060,1.885,0.0733,2.2015,40.59,53.14,7122
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,0.2001,1.495,0.0684,1.7659,43.14,53.85,7123
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,0.2347,1.025,0.0955,1.5098,47.74,49.79,7124
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,0.3266,1.733,0.0654,1.9997,46.21,51.93,7125
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,0.3951,1.821,0.0716,2.1860,40.24,54.69,7202
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,0.1905,0.822,0.0934,1.2134,46.72,52.08,7203
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,0.1112,0.539,0.0722,0.8423,40.13,54.45,7204
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,0.2380,1.137,0.0983,1.6118,46.01,57.28,7205
