region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,init_roughness_um,init_scratch_um,init_ra_um,init_rz_um,init_clearcoat_um,init_gu_proxy,surface_seed,init_scratch_count
R1,bonnet,0,1.700,-0.480,0.960,-0.1000,0.0000,0.9950,0.1563,0.217,0.1229,0.8538,41.79,61.11,7101,2
R1,bonnet,1,1.700,-0.240,0.960,-0.1000,0.0000,0.9950,0.1462,0.344,0.1163,0.8674,47.91,67.98,7102,2
R1,bonnet,2,1.700,0.000,0.960,-0.1000,0.0000,0.9950,0.1609,0.336,0.1286,0.9448,42.98,65.64,7103,2
R1,bonnet,3,1.700,0.240,0.960,-0.1000,0.0000,0.9950,0.1433,0.202,0.1126,0.8369,45.15,75.13,7104,3
R1,bonnet,4,1.700,0.480,0.960,-0.1000,0.0000,0.9950,0.1263,0.244,0.1035,0.6899,42.78,71.63,7105,1
R1,bonnet,5,1.900,-0.480,0.980,-0.1000,0.0000,0.9950,0.1590,0.138,0.1277,0.9365,40.13,63.55,7106,2
R1,bonnet,6,1.900,-0.240,0.980,-0.1000,0.0000,0.9950,0.1299,0.144,0.1052,0.7340,45.95,67.02,7107,3
R1,bonnet,7,1.900,0.000,0.980,-0.1000,0.0000,0.9950,0.1775,0.476,0.1362,1.1015,47.97,62.40,7108,3
R1,bonnet,8,1.900,0.240,0.980,-0.1000,0.0000,0.9950,0.1582,0.194,0.1282,0.8949,45.63,63.68,7109,2
R1,bonnet,9,1.900,0.480,0.980,-0.1000,0.0000,0.9950,0.1546,0.153,0.1225,0.9030,43.14,55.95,7110,3
R1,bonnet,10,2.100,-0.480,1.000,-0.1000,0.0000,0.9950,0.1698,0.379,0.1271,1.0942,44.93,61.46,7111,3
R1,bonnet,11,2.100,-0.240,1.000,-0.1000,0.0000,0.9950,0.1988,0.261,0.1578,1.1879,46.22,66.74,7112,2
R1,bonnet,12,2.100,0.000,1.000,-0.1000,0.0000,0.9950,0.1673,0.051,0.1319,0.9418,46.76,73.11,7113,1
R1,bonnet,13,2.100,0.240,1.000,-0.1000,0.0000,0.9950,0.1714,0.092,0.1355,1.0359,45.19,57.12,7114,3
R1,bonnet,14,2.100,0.480,1.000,-0.1000,0.0000,0.9950,0.1826,0.679,0.1082,1.2313,49.05,59.39,7115,4
R1,bonnet,15,2.300,-0.480,1.020,-0.1000,0.0000,0.9950,0.1735,0.398,0.1355,1.0548,43.14,67.70,7116,3
R1,bonnet,16,2.300,-0.240,1.020,-0.1000,0.0000,0.9950,0.1543,0.122,0.1220,0.8881,49.58,68.17,7117,1
